classified.type,classified.subtype,classified.price,classified.transactionType,classified.zip,classified.kitchen.type,NOTRclassified.building.constructionYear,classified.building.condition,NOTRclassified.energy.heatingType,NOTRclassified.certificates.primaryEnergyConsumptionLevel,classified.bedroom.count,classified.land.surface,classified.atticExists,classified.outdoor.garden.surface,classified.outdoor.terrace.exists,classified.wellnessEquipment.hasSwimmingPool,classified.parking.parkingSpaceCount.indoor
house,house,299000,for sale,9470,installed,1936,to renovate,gas,484,3,568,1,None,0,0,1
house,house,119900,for sale,6040,semi equipped,1957,to be done up,gas,552,2,120,1,None,1,0,1
house,house,225000,for sale,7603,semi equipped,1832,to be done up,fueloil,361,5,400,0,150,1,0,None
house,mixed use building,795000,for sale,1080,semi equipped,1988,good,gas,None,0,650,0,None,0,0,1
house,mixed use building,495000,for sale,1020,semi equipped,1951,as new,None,None,0,0,0,None,0,0,None
house,house,1599000,for sale,8000,None,None,as new,None,None,7,828,0,None,1,0,12
house,villa,715000,for sale,1950,installed,1955,as new,None,502,4,699,0,None,1,0,1
house,town house,259000,for sale,8660,None,None,good,gas,512,3,100,0,16,0,0,1
house,house,245000,for sale,5060,semi equipped,None,to renovate,fueloil,459,3,529,0,368,1,0,1
house,house,361500,for sale,9968,installed,2022,good,None,None,3,0,0,None,1,0,1
house,house,645000,for sale,9620,installed,1870,good,None,217,5,567,0,None,1,0,1
house,house,240000,for sale,6180,semi equipped,None,good,fueloil,695,3,7260,0,7200,1,0,2
house,house,385000,for sale,9930,None,2021,good,None,None,3,209,0,209,0,0,None
house,house,415000,for sale,9930,None,2021,good,None,None,3,322,0,None,0,0,None
house,house,465000,for sale,9930,None,2021,good,None,None,3,544,0,None,0,0,None
house,house,455000,for sale,9930,None,2021,good,None,None,3,425,0,None,0,0,None
house,house,775000,for sale,1500,None,1969,None,None,343,3,1513,0,None,0,0,None
house,villa,467000,for sale,9620,None,None,None,fueloil,872,4,2334,0,None,1,0,1
house,villa,467000,for sale,9620,None,None,None,fueloil,872,4,2334,0,None,1,0,1
house,house,400000,for sale,1082,hyper equipped,None,as new,gas,355,5,100,0,None,1,0,None
house,house,392000,for sale,9890,None,1979,None,gas,1203,3,844,0,None,0,0,4
house,house,295000,for sale,8790,None,None,as new,None,129,3,331,0,None,1,0,1
house,villa,595000,for sale,8790,None,1981,None,None,190,3,683,0,None,0,0,2
house group,house group,356000 - 396000,for sale,1880,None,None,None,None,100,None,None,0,None,0,0,None
house,house,215000,for sale,9300,None,None,as new,None,562,3,175,0,None,0,0,None
house,house,215000,for sale,9300,None,None,as new,None,562,3,175,0,None,0,0,None
house,house,189000,for sale,9950,not installed,1930,to renovate,None,792,3,400,0,None,0,0,None
house,house,150000,for sale,8840,None,None,to renovate,None,688,4,369,0,None,0,0,1
house,house,355000,for sale,8540,None,2004,as new,None,216,3,347,0,None,1,0,None
house,house,355000,for sale,8540,None,2004,as new,None,216,3,347,0,None,1,0,None
house,exceptional property,1050000,for sale,3941,installed,1880,just renovated,None,99,6,770,0,None,0,0,None
house,villa,639000,for sale,3650,installed,None,as new,gas,138,3,850,0,None,0,1,None
house,villa,1350000,for sale,3941,installed,1989,to be done up,fueloil,154,6,43000,0,42000,0,1,8
house,villa,1995000,for sale,3630,installed,2000,as new,gas,108,4,3680,0,None,0,0,None
house,villa,519000,for sale,9520,installed,1995,None,None,215,4,10375,0,None,1,0,1
house group,house group,320200 - 354600,for sale,8760,None,None,None,None,None,None,None,0,None,0,0,None
house,house,325000,for sale,8760,installed,None,to be done up,gas,888,3,2350,0,None,0,0,2
house,house,440000,for sale,3460,None,2021,None,gas,None,5,570,0,470,1,0,1
house,house,440000,for sale,3460,None,2021,None,gas,None,5,570,0,470,1,0,1
house,apartment block,695000,for sale,9050,None,None,as new,None,347,4,338,0,None,0,0,None
house,house,420000,for sale,8530,semi equipped,1954,to renovate,None,558,5,1311,0,None,1,0,None
house,house,no price,for sale,2600,hyper equipped,None,as new,gas,251,2,75,0,12,0,0,None
house,house,no price,for sale,2600,hyper equipped,None,as new,gas,251,2,75,0,12,0,0,None
house,house,525000,for sale,9200,None,None,as new,gas,None,3,429,0,429,0,0,1
house,house,315000,for sale,9200,usa hyper equipped,1918,as new,gas,105,3,103,1,50,1,0,None
house,apartment block,2375000,for sale,1030,usa installed,1920,as new,None,230,6,1115,0,375,1,0,None
house,villa,325000,for sale,7540,hyper equipped,1950,good,fueloil,456,4,1830,0,None,1,0,1
house,villa,525000,for sale,4630,hyper equipped,2017,None,None,107,3,800,1,800,1,0,1
house,house,215000,for sale,9500,hyper equipped,None,just renovated,gas,224,3,488,1,80,1,0,None
house,house,340000,for sale,4560,usa hyper equipped,2011,as new,gas,135,4,638,1,400,1,0,1
house,house,349000,for sale,2300,None,None,None,gas,179,3,858,1,None,1,0,None
house,house,649000,for sale,3000,None,None,just renovated,gas,None,6,380,1,170,1,0,None
house,apartment block,285000,for sale,1400,None,None,good,gas,452,6,73,1,None,1,0,None
house,apartment block,285000,for sale,1400,None,None,good,gas,452,6,73,1,None,1,0,None
house,house,209000,for sale,9230,installed,None,good,gas,503,3,190,0,None,1,0,None
house,house,295000,for sale,9420,usa hyper equipped,1974,good,gas,289,4,300,1,100,1,0,1
house,house,295000,for sale,9420,usa hyper equipped,1974,good,gas,289,4,300,1,100,1,0,1
house,house,650000,for sale,4458,installed,None,good,fueloil,381,4,1106,1,946,1,1,1
house,house,229900,for sale,6040,installed,1899,good,gas,397,3,482,1,237,1,0,1
house,apartment block,645000,for sale,1060,usa semi equipped,1907,good,gas,380,4,96,1,None,1,0,None
house,house,165000,for sale,9300,semi equipped,1918,to renovate,None,472,2,140,1,None,1,0,None
house,house,165000,for sale,9300,semi equipped,1918,to renovate,None,472,2,140,1,None,1,0,None
house,country cottage,439000,for sale,2240,hyper equipped,None,good,gas,570,3,1774,1,1250,1,0,2
house,house,187000,for sale,7130,installed,None,good,fueloil,313,2,0,0,None,0,0,None
house,house,695000,for sale,1040,usa installed,1950,just renovated,gas,387,6,0,0,None,1,0,None
house,house,349000,for sale,9052,installed,1918,good,gas,208,3,246,0,200,0,0,None
house,villa,1250000,for sale,1420,installed,None,good,fueloil,296,4,4600,0,None,1,0,1
house,house,389000,for sale,1420,installed,None,good,gas,391,3,455,0,455,1,0,None
house,house,389000,for sale,1420,installed,None,good,gas,391,3,455,0,455,1,0,None
house,house,299000,for sale,8510,installed,None,good,gas,534,2,456,1,None,1,0,1
house,house,299000,for sale,8510,installed,None,good,gas,534,2,456,1,None,1,0,1
house,house,519000,for sale,1600,installed,2001,as new,None,203,3,380,0,None,1,0,1
house,house,400000,for sale,1380,None,1850,to be done up,fueloil,338,2,400,0,None,1,0,None
house,house,349000,for sale,2480,None,1974,just renovated,fueloil,247,2,425,0,None,0,0,None
house,house,325000,for sale,8370,hyper equipped,None,as new,gas,256,3,110,0,None,1,0,None
house,house,352000,for sale,4357,usa hyper equipped,1998,as new,fueloil,307,3,1266,1,None,1,0,1
house,house,352000,for sale,4357,usa hyper equipped,1998,as new,fueloil,307,3,1266,1,None,1,0,1
house,house,180000,for sale,4257,semi equipped,1930,to renovate,fueloil,562,2,1786,1,1697,1,0,1
house,house,180000,for sale,4257,semi equipped,1930,to renovate,fueloil,562,2,1786,1,1697,1,0,1
house,villa,885000,for sale,1420,usa hyper equipped,2002,as new,gas,136,4,1331,0,None,1,0,3
house,bungalow,365000,for sale,8793,installed,1970,good,fueloil,441,3,752,0,None,1,0,1
house,house,300000,for sale,8540,installed,2005,good,gas,172,3,248,0,None,1,0,1
house,house,229000,for sale,8510,None,1956,good,None,360,4,131,0,None,0,0,None
house,house,250000,for sale,8900,installed,1973,None,None,393,4,180,0,None,1,0,1
house,house,235000,for sale,8800,None,1899,None,None,390,2,230,0,None,0,0,None
house,house,495000,for sale,8200,hyper equipped,None,as new,gas,349,3,478,0,268,1,0,1
house,country cottage,495000,for sale,8800,None,1868,to renovate,None,1613,4,2064,0,None,0,0,1
house,country cottage,495000,for sale,8800,None,1868,to renovate,None,1613,4,2064,0,None,0,0,1
house,house,320000,for sale,8730,None,None,None,fueloil,477,3,280,0,None,0,0,1
house,house,349000,for sale,8000,installed,None,None,gas,689,3,534,0,None,0,0,None
house,house,349000,for sale,8000,installed,None,None,gas,689,3,534,0,None,0,0,None
house,villa,455000,for sale,8510,None,1990,as new,None,415,3,504,0,None,0,0,None
house,house,215000,for sale,9600,None,2013,None,None,None,3,105,0,None,0,0,None
house,house,220000,for sale,9600,None,None,None,None,449,2,170,0,None,1,0,1
house,house,399000,for sale,8200,None,1938,None,None,182,3,273,0,None,1,0,None
house,house,400000,for sale,3800,installed,1899,None,gas,524,3,200,1,None,1,0,None
house,house,275000,for sale,8300,None,2018,as new,gas,83,1,0,0,None,1,0,None
house,house,239000,for sale,8840,None,1951,to be done up,None,620,3,1048,0,None,0,0,1
house,villa,399500,for sale,4970,hyper equipped,None,good,fueloil,389,4,1150,1,500,1,0,3
house,house,199000,for sale,4400,installed,None,good,pellet,208,4,12320,0,70,0,0,None
house,house,199000,for sale,4400,installed,None,good,pellet,208,4,12320,0,70,0,0,None
house,house,285000,for sale,4100,hyper equipped,None,as new,gas,407,3,215,0,55,1,0,1
house,house,184500,for sale,4130,not installed,None,to be done up,fueloil,612,3,185,1,None,1,0,2
house,house,no price,for sale,9630,None,None,to be done up,None,363,3,1033,0,None,0,0,2
house,house,429000,for sale,2627,hyper equipped,2018,None,gas,22.57,3,0,1,None,1,0,None
house,house,629000,for sale,8800,None,1982,as new,None,218,4,1293,0,None,1,0,2
house,country cottage,358000,for sale,6530,None,None,good,fueloil,None,7,1347,0,1200,1,0,None
house,country cottage,358000,for sale,6530,None,None,good,fueloil,None,7,1347,0,1200,1,0,None
house,house,339000,for sale,2323,None,1959,to renovate,None,502,3,675,0,None,0,0,1
house,house,249000,for sale,8480,None,1933,None,None,299,4,310,0,None,0,0,None
house,mixed use building,325000,for sale,6183,installed,None,to be done up,gas,None,3,0,1,600,1,0,None
house,house,345000,for sale,9400,installed,None,just renovated,gas,240,3,126,1,None,1,0,None
house,house,925000,for sale,6700,usa hyper equipped,2014,just renovated,None,75,5,2365,0,None,1,0,2
house,house,425000,for sale,1742,not installed,None,None,gas,388,2,651,1,460,0,0,1
house,town house,555000,for sale,6700,installed,2015,as new,gas,80,4,469,1,264,1,0,1
house,house,355000,for sale,8560,hyper equipped,2012,as new,gas,146,3,279,1,210,1,0,1
house,house,249000,for sale,4031,installed,1938,just renovated,gas,412,4,170,0,65,1,0,None
house,villa,1250000,for sale,6780,usa hyper equipped,2002,as new,fueloil,134,5,16107,0,None,1,0,2
house,house,165000,for sale,8680,None,1945,to renovate,None,575,2,446,0,None,0,0,None
house,house,165000,for sale,9900,None,None,None,None,None,4,185,0,None,0,0,None
house,bungalow,279000,for sale,9600,None,1972,as new,gas,621,3,826,1,None,1,0,1
house,house,249000,for sale,9420,None,None,to renovate,None,504,3,1616,0,None,1,0,None
house,house,249000,for sale,9420,None,None,to renovate,None,504,3,1616,0,None,1,0,None
house,apartment block,379000,for sale,6041,usa semi equipped,None,to be done up,gas,None,10,209,0,None,1,0,None
house,house,339000,for sale,9000,None,1930,to be done up,fueloil,541,4,230,0,None,1,0,None
house,house,339000,for sale,9000,None,1930,to be done up,fueloil,541,4,230,0,None,1,0,None
house,house,309000,for sale,2930,None,1969,to renovate,electric,None,3,315,0,None,1,0,1
house,house,309000,for sale,2930,None,1969,to renovate,electric,None,3,315,0,None,1,0,1
house,house,165000,for sale,7301,semi equipped,None,as new,gas,402,3,256,1,200,1,0,None
house,house,260000,for sale,7548,installed,None,None,fueloil,397,3,1748,0,None,0,0,1
house,apartment block,950000,for sale,1050,None,None,good,fueloil,None,7,170,0,100,0,0,None
house,apartment block,895000,for sale,7800,not installed,None,good,gas,None,9,324,0,None,0,0,1
house,apartment block,895000,for sale,7800,not installed,None,good,gas,None,9,324,0,None,0,0,1
house,apartment block,895000,for sale,7800,not installed,None,good,gas,None,9,324,0,None,0,0,1
house,house,299000,for sale,4130,not installed,None,to be done up,fueloil,625,1,3700,0,3700,1,0,1
house,house,88000,for sale,8600,None,None,to be done up,gas,255,4,375,1,None,0,0,None
house,house,88000,for sale,8600,None,None,to be done up,gas,255,4,375,1,None,0,0,None
house,house,90000,for sale,8600,None,None,to be done up,None,243,4,369,1,None,0,0,None
house,house,90000,for sale,8600,None,None,to be done up,None,243,4,369,1,None,0,0,None
house,house,101000,for sale,8600,None,None,to renovate,None,370,4,212,1,None,0,0,None
house,house,93000,for sale,8600,None,None,to renovate,None,440,3,149,0,None,0,0,None
house,house,105000,for sale,8600,None,None,to be done up,None,627,3,250,0,None,0,0,None
house,house,825000,for sale,6780,usa hyper equipped,2008,as new,None,148,4,1040,0,None,0,0,1
house,house,89000,for sale,6040,semi equipped,None,to renovate,gas,635,2,0,1,None,1,0,None
house,house,89000,for sale,6040,semi equipped,None,to renovate,gas,635,2,0,1,None,1,0,None
house,house,765000,for sale,9000,installed,None,just renovated,gas,174,4,70,0,None,1,0,None
house,house,325000,for sale,8420,installed,2021,as new,gas,60,4,350,0,None,1,0,1
house,house,325000,for sale,8420,installed,2021,as new,gas,60,4,350,0,None,1,0,1
house,bungalow,185000,for sale,9140,None,None,to renovate,None,1495,2,631,0,None,0,0,None
house,house,430000,for sale,9041,installed,2003,None,None,215,3,438,0,245,1,0,None
house,house,475000,for sale,9070,installed,1982,good,None,315,3,883,0,505,1,0,1
house,house,115000,for sale,7134,semi equipped,None,to be done up,gas,650,3,205,0,None,1,0,None
house,house,80000,for sale,7130,semi equipped,None,to renovate,None,370,4,117,0,None,0,0,None
house,house,80000,for sale,7130,semi equipped,None,to renovate,None,370,4,117,0,None,0,0,None
house,house,175000,for sale,6460,installed,None,None,fueloil,635,3,2100,1,None,1,0,None
house,apartment block,275000,for sale,6220,not installed,None,good,None,None,0,1004,0,None,0,0,None
house,apartment block,275000,for sale,6220,not installed,None,good,None,None,0,1004,0,None,0,0,None
house,house,349500,for sale,2490,None,None,as new,fueloil,225,5,360,0,None,0,0,None
house,house,349500,for sale,2490,None,None,as new,fueloil,225,5,360,0,None,0,0,None
house,house,449000,for sale,8211,installed,None,to be done up,None,540,5,1539,0,None,0,0,None
house,house,225000,for sale,2100,installed,None,good,None,185,2,68,0,None,1,0,None
house,house,225000,for sale,2100,installed,None,good,None,185,2,68,0,None,1,0,None
house,house,315000,for sale,1325,not installed,1987,to renovate,fueloil,326,2,1332,0,1332,1,0,2
house,house,158000,for sale,6200,installed,None,None,gas,368,3,213,0,120,1,0,None
house,house,129000,for sale,4050,semi equipped,None,good,electric,237,1,175,0,80,1,0,None
house,house,129000,for sale,4050,semi equipped,None,good,electric,237,1,175,0,80,1,0,None
house,house,235000,for sale,2800,installed,1934,None,None,668,4,125,0,None,0,0,None
house,house,130000,for sale,4280,installed,None,as new,fueloil,291,4,0,0,None,0,0,None
house,house,160000,for sale,2300,installed,1955,None,None,497,2,132,0,None,1,0,None
house,apartment block,595000,for sale,2000,None,None,None,gas,241,3,62,0,None,0,0,None
house,apartment block,595000,for sale,2000,None,None,None,gas,241,3,62,0,None,0,0,None
house,country cottage,550000,for sale,7830,installed,None,good,None,280,3,15633,0,None,1,1,None
house,country cottage,550000,for sale,7830,installed,None,good,None,280,3,15633,0,None,1,1,None
house,house,345000,for sale,2150,installed,1983,None,None,573,1,1006,0,None,0,0,None
house,house,50000,for sale,9200,None,1898,to renovate,None,550,3,390,0,None,0,0,None
house,house,230000,for sale,4500,None,None,to renovate,None,388,4,645,1,None,0,0,None
house,house,375000,for sale,8000,None,None,to renovate,None,761,6,193,0,None,0,0,1
house,house,299000,for sale,9290,installed,2018,None,None,405,3,274,0,None,0,0,1
house,house,299000,for sale,9290,installed,2018,None,None,405,3,274,0,None,0,0,1
house,house,129000,for sale,7730,installed,None,to be done up,gas,237,1,92,0,42,1,0,None
house,country cottage,295000,for sale,7060,installed,1960,as new,pellet,468,3,2335,1,2150,1,0,None
house,bungalow,285000,for sale,9140,installed,1973,to renovate,fueloil,None,2,736,0,None,0,0,2
house,bungalow,285000,for sale,9140,installed,1973,to renovate,fueloil,None,2,736,0,None,0,0,2
house,house,175000,for sale,7130,installed,None,just renovated,fueloil,606,2,260,0,None,1,0,None
house,house,175000,for sale,7130,installed,None,just renovated,fueloil,606,2,260,0,None,1,0,None
house,house,245000,for sale,6220,semi equipped,None,good,fueloil,267,4,0,0,None,1,0,None
house,apartment block,2400000,for sale,7380,installed,2003,as new,electric,196,0,0,0,None,1,0,None
house,country cottage,465000,for sale,2920,None,1979,to be done up,None,None,5,1275,1,1000,0,0,None
house,country cottage,465000,for sale,2920,None,1979,to be done up,None,None,5,1275,1,1000,0,0,None
house,house,469000,for sale,2000,None,1973,None,None,421,6,95,0,None,0,0,None
house,house,340000,for sale,1651,None,1919,None,None,None,3,212,0,None,0,0,None
house,house,179000,for sale,4500,installed,1938,good,fueloil,652,2,1154,0,1044,0,0,None
house,house,279000,for sale,2018,installed,1874,as new,gas,246,2,55,1,None,1,0,None
house,house,750000,for sale,1050,installed,None,good,None,None,11,270,0,70,1,0,None
house,house,259000,for sale,8620,None,None,to be done up,gas,327,4,0,0,None,1,0,None
house,house,260000,for sale,8620,None,2004,as new,pellet,464,3,0,0,None,1,0,None
house,house,280000,for sale,9550,None,1999,as new,electric,578,3,995,0,420,1,0,1
house,house,389000,for sale,2140,None,1950,as new,gas,275,3,131,0,None,0,0,None
house,house,220000,for sale,8810,None,1986,to be done up,electric,735,2,618,0,None,0,0,1
house,house,565000,for sale,8720,installed,1975,as new,gas,200,6,2955,0,None,1,0,None
house,house,365000,for sale,8800,hyper equipped,2016,None,gas,28,3,275,0,None,0,0,None
house,house,399000,for sale,8020,usa hyper equipped,2008,as new,None,130,3,292,1,None,1,0,1
house,house,239000,for sale,9340,installed,None,as new,gas,187,2,60,0,None,0,0,None
house,house,199000,for sale,9300,None,None,None,carbon,1244,2,287,1,None,1,0,1
house,house,199000,for sale,9300,None,None,None,carbon,1244,2,287,1,None,1,0,1
house,house,775000,for sale,2880,hyper equipped,2006,None,gas,625,3,5942,0,None,1,0,None
house,house,775000,for sale,2880,hyper equipped,2006,None,gas,625,3,5942,0,None,1,0,None
house,house,280000,for sale,9308,None,None,to be done up,fueloil,527,5,360,1,None,1,0,1
house,house,280000,for sale,9308,None,None,to be done up,fueloil,527,5,360,1,None,1,0,1
house,house,489000,for sale,9290,usa hyper equipped,None,None,None,210,4,879,1,400,1,1,None
house,villa,429000,for sale,9340,installed,1969,as new,gas,416,4,510,0,None,1,0,1
house,bungalow,219000,for sale,4470,not installed,1975,to renovate,electric,868,3,1650,0,950,1,0,2
house,bungalow,170000,for sale,4317,not installed,1974,to be done up,electric,1413,2,725,0,387,0,0,1
house,house,339000,for sale,1790,hyper equipped,1950,to renovate,fueloil,576,3,1050,0,800,1,0,1
house,exceptional property,749000,for sale,9300,hyper equipped,1932,as new,gas,117,3,160,1,None,1,0,None
house,house,330000,for sale,9300,usa installed,1936,good,None,225,3,110,0,None,1,0,1
house,house,649000,for sale,7022,semi equipped,None,to renovate,fueloil,533,5,14816,0,250,0,0,None
house,villa,295000,for sale,7330,installed,1960,good,gas,479,3,900,1,None,0,0,1
house,house,160000,for sale,7370,None,1970,to be done up,fueloil,279,3,371,1,296,1,0,1
house,house,145000,for sale,7322,semi equipped,None,to renovate,fueloil,469,3,190,0,80,1,0,None
house,house,145000,for sale,7322,semi equipped,None,to renovate,fueloil,469,3,190,0,80,1,0,None
house,house,149000,for sale,8570,None,None,to be done up,None,887,3,276,1,None,1,0,None
house,house,149000,for sale,8570,None,None,to be done up,None,887,3,276,1,None,1,0,None
house,house,219000,for sale,4400,hyper equipped,2018,as new,gas,136,3,190,0,None,1,0,1
house,house,269000,for sale,6224,installed,None,good,fueloil,488,3,1370,0,None,1,0,None
house,house,269000,for sale,6224,installed,None,good,fueloil,488,3,1370,0,None,1,0,None
house,villa,1150000,for sale,9290,hyper equipped,1976,as new,fueloil,318,4,2270,0,None,1,0,3
house,house,209000,for sale,9230,not installed,None,to be done up,None,865,2,110,0,None,1,0,None
house,house,352200,for sale,9120,installed,None,None,gas,None,3,170,0,None,1,0,None
house,house,352200,for sale,9120,installed,None,None,gas,None,3,170,0,None,1,0,None
house,house,89000,for sale,6280,semi equipped,None,None,fueloil,641,1,38,0,None,0,0,None
house,house,89000,for sale,6280,semi equipped,None,None,fueloil,641,1,38,0,None,0,0,None
house,house,149000,for sale,6060,None,None,None,gas,547,4,350,1,None,1,0,None
house,house,149000,for sale,6060,None,None,None,gas,547,4,350,1,None,1,0,None
house,farmhouse,305000,for sale,9990,None,1978,None,None,375,3,14614,0,None,0,0,2
house,apartment block,790000,for sale,1180,installed,1978,good,gas,None,5,350,0,None,1,0,3
house,house,225000,for sale,6150,semi equipped,None,good,None,470,2,1750,1,1690,0,0,1
house,house,710000,for sale,4052,installed,1966,good,fueloil,327,5,1900,0,1700,1,0,2
house,house,132000,for sale,2590,None,1930,to be done up,None,715,3,295,0,None,0,0,1
house,house,132000,for sale,2590,None,1930,to be done up,None,715,3,295,0,None,0,0,1
house,house,195000,for sale,8560,installed,1960,just renovated,gas,190,3,222,1,None,1,0,1
house,farmhouse,290000,for sale,2381,None,1850,to renovate,None,841,2,11495,1,None,0,0,None
house,farmhouse,290000,for sale,2381,None,1850,to renovate,None,841,2,11495,1,None,0,0,None
house,house,150000,for sale,6000,None,None,to renovate,gas,513,4,1210,0,None,0,0,None
house,house,150000,for sale,6000,None,None,to renovate,gas,513,4,1210,0,None,0,0,None
house,apartment block,470000,for sale,7500,None,1918,good,gas,300,0,155,0,None,0,0,1
house,apartment block,470000,for sale,7500,None,1918,good,gas,300,0,155,0,None,0,0,1
house,apartment block,150000,for sale,6000,None,None,to renovate,gas,513,4,1210,0,None,0,0,None
house,apartment block,150000,for sale,6000,None,None,to renovate,gas,513,4,1210,0,None,0,0,None
house,house,800000,for sale,1650,installed,1885,to be done up,gas,450,5,11159,0,920,1,0,3
house,house,360000,for sale,1860,hyper equipped,1979,good,gas,218,3,349,0,None,1,0,None
house,mansion,1450000,for sale,8800,installed,None,as new,None,116,5,770,0,None,1,1,None
house,house,260000,for sale,8490,installed,1963,good,None,None,4,242,0,None,0,0,1
house,house,353000,for sale,8793,installed,2010,None,None,96,3,322,0,None,1,0,1
house,house,449000,for sale,8210,installed,1991,good,electric,370,4,904,0,None,1,0,1
house,house,435000,for sale,8730,installed,None,None,fueloil,256,6,720,0,None,1,0,None
house,house,620000,for sale,1650,installed,1985,to be done up,gas,450,5,717,0,475,1,0,3
house,house,315000,for sale,8552,installed,None,good,None,196,3,370,0,197,0,0,None
house,house,229000,for sale,8930,installed,None,good,gas,220,4,220,0,25,0,0,1
house,country cottage,385000,for sale,8530,installed,1933,good,None,440,3,931,0,487,0,0,1
house,country cottage,385000,for sale,8530,installed,1933,good,None,440,3,931,0,487,0,0,1
house,house,275000,for sale,8460,installed,1950,to be done up,None,536,3,498,0,None,0,0,1
house,house,239000,for sale,9160,installed,1935,good,gas,278,3,336,0,None,0,0,None
house,house,219950,for sale,9220,installed,None,good,None,260,3,88,0,None,0,0,None
house,apartment block,845000,for sale,6000,hyper equipped,None,just renovated,gas,None,11,330,0,110,1,0,None
house,apartment block,845000,for sale,6000,hyper equipped,None,just renovated,gas,None,11,330,0,110,1,0,None
house,mixed use building,210000,for sale,4480,None,None,good,gas,558,2,0,0,None,1,0,10
house,house,425000,for sale,6717,None,2009,as new,fueloil,None,4,277,0,80,1,0,1
house,house,425000,for sale,6717,None,2009,as new,fueloil,None,4,277,0,80,1,0,1
house,house,85000,for sale,6810,None,None,to renovate,None,498,3,170,1,None,0,0,1
house,house,399000,for sale,1070,hyper equipped,1930,as new,electric,1424,4,75,0,None,1,0,None
house,house,299000,for sale,9340,None,1980,good,gas,259,3,356,0,250,1,0,1
house,house,100000,for sale,7301,None,None,to be done up,gas,486,3,260,0,None,0,0,None
house,house,155000,for sale,7040,None,None,None,gas,95,2,357,0,None,0,0,None
house,house,155000,for sale,7040,None,None,None,gas,95,2,357,0,None,0,0,None
house,house,140000,for sale,7340,None,None,good,None,334,2,235,0,None,0,0,1
house,apartment block,475000,for sale,1140,installed,1910,as new,gas,178,3,224,1,172,1,0,None
house,house,685000,for sale,2600,installed,None,good,None,44,3,0,1,None,1,0,1
house,house,685000,for sale,2600,installed,None,good,None,44,3,0,1,None,1,0,1
house,house,545000,for sale,8600,installed,None,good,None,None,1,1303,0,None,1,0,None
house,house,625000,for sale,4520,installed,None,good,gas,299,10,7758,0,6450,1,0,None
house,house,349000,for sale,1980,usa hyper equipped,1950,good,gas,439,3,339,0,None,1,0,1
house,house,169000,for sale,4180,installed,None,to be done up,pellet,419,2,0,0,None,1,0,None
house,house,155000,for sale,6210,usa semi equipped,None,good,fueloil,487,2,150,0,75,0,0,None
house,house,115000,for sale,6010,installed,None,None,None,394,3,160,0,76,0,0,None
house,house,120000,for sale,6460,installed,None,None,None,578,2,850,0,None,1,0,None
house,villa,1680000,for sale,1380,installed,2013,as new,None,54,4,2400,1,2400,1,0,None
house,country cottage,289000,for sale,7534,installed,None,good,fueloil,596,3,988,0,None,1,0,1
house,country cottage,289000,for sale,7534,installed,None,good,fueloil,596,3,988,0,None,1,0,1
house,house,290000,for sale,9240,hyper equipped,None,None,gas,269,3,252,1,None,1,0,1
house,house,100000,for sale,5500,semi equipped,None,to renovate,None,340,4,100,0,None,0,0,None
house,house,100000,for sale,5500,semi equipped,None,to renovate,None,340,4,100,0,None,0,0,None
house,apartment block,299000,for sale,7500,semi equipped,None,good,gas,270,3,0,0,None,0,0,None
house,house,125000,for sale,7640,semi equipped,None,good,gas,231,3,0,0,None,0,0,None
house,house,125000,for sale,7640,semi equipped,None,good,gas,231,3,0,0,None,0,0,None
house,apartment block,280000,for sale,7500,semi equipped,None,good,electric,236,0,0,0,None,1,0,None
house,apartment block,280000,for sale,7500,semi equipped,None,good,electric,236,0,0,0,None,1,0,None
house,house,249999,for sale,6042,installed,1945,just renovated,gas,379,4,500,0,None,1,0,1
house,house,411000,for sale,2520,installed,2022,None,None,None,3,306,0,None,1,0,None
house,house,411000,for sale,2520,installed,2022,None,None,None,3,306,0,None,1,0,None
house,house,189000,for sale,6200,installed,None,None,gas,None,3,407,0,None,1,0,None
house,house,159000,for sale,6060,semi equipped,None,good,gas,427,2,184,0,None,0,0,None
house,house,159000,for sale,6060,semi equipped,None,good,gas,427,2,184,0,None,0,0,None
house,house,399000,for sale,8400,None,1907,to be done up,gas,503,6,135,0,None,0,0,1
house,house,1599000,for sale,8000,installed,2005,None,None,None,7,764,0,None,0,0,13
house,house,379000,for sale,8200,installed,None,good,gas,166,3,201,0,None,1,0,None
house,mansion,299000,for sale,8820,None,None,good,gas,143,4,80,0,None,0,0,None
house,house,290000,for sale,8430,not installed,None,to be done up,None,419,3,497,0,240,0,0,1
house,house,275000,for sale,8670,None,1930,None,None,576,0,300,0,160,1,0,1
house,mansion,1770000,for sale,9000,None,1831,good,None,298,5,189,0,90,0,0,None
house,house,345000,for sale,9000,installed,None,as new,gas,None,3,109,1,None,1,0,1
house,house,345000,for sale,9000,installed,None,as new,gas,None,3,109,1,None,1,0,1
house,house,265000,for sale,8791,None,1979,None,fueloil,343,4,661,0,None,1,0,1
house,house,650000,for sale,6830,None,1970,as new,None,239,9,0,0,None,0,0,2
house group,house group,311621 - 327717,for sale,8750,None,None,None,None,None,None,None,0,None,0,0,None
house group,house group,329717 - 329717,for sale,8750,None,None,None,None,None,None,None,0,None,0,0,None
house,house,320000,for sale,9310,installed,None,to be done up,None,499,3,563,0,None,0,0,None
house,house,320000,for sale,9310,installed,None,to be done up,None,499,3,563,0,None,0,0,None
